"","x"
"1",0.957376151811332
"2",0.919385965913534
"3",0.734533407492563
"4",0.54252398503013
"5",0.0923061706125736
"6",0.448034284869209
"7",0.493823833530769
"8",0.424017220968381
"9",0.0264016173314303
"10",0.834493809379637
"11",0.571347639197484
"12",0.929180555278435
"13",0.547959278570488
"14",0.0541430229786783
"15",0.112817127257586
"16",0.877182360971346
"17",0.422761360183358
"18",0.490420201793313
"19",0.0987125274259597
"20",0.47599068749696
"21",0.156229319982231
"22",0.292771913576871
"23",0.790095991222188
"24",0.672839392907917
"25",0.728540288284421
"26",0.201959822094068
"27",0.514369595563039
"28",0.607277296949178
"29",0.0443501907866448
"30",0.0899420420173556
"31",0.0096737036947161
"32",0.257556305034086
"33",0.917391188675538
"34",0.756361847743392
"35",0.338257949100807
"36",0.750002052169293
"37",0.581166449002922
"38",0.558738311752677
"39",0.0108280691783875
"40",0.386144226649776
"41",0.0629127405118197
"42",0.188182543963194
"43",0.13972287857905
"44",0.789603546028957
"45",0.466436963062733
"46",0.564273269148543
"47",0.0202354223001748
"48",0.907549585448578
"49",0.361590969376266
"50",0.885818561306223
"51",0.328194055240601
"52",0.783089682925493
"53",0.501214766409248
"54",0.10845164838247
"55",0.103694893419743
"56",0.368917089654133
"57",0.210031497990713
"58",0.0696309010963887
"59",0.733174559893087
"60",0.510727415792644
"61",0.592619255650789
"62",0.987618586746976
"63",0.438530147075653
"64",0.567143491934985
"65",0.3200167149771
"66",0.299493015510961
"67",0.569943993585184
"68",0.810455351602286
"69",0.582343397196382
"70",0.90390746621415
"71",0.150170795852318
"72",0.549036846961826
"73",0.323910422623158
"74",0.312314884737134
"75",0.0357425091788173
"76",0.0668156547471881
"77",0.506055479403585
"78",0.413864663103595
"79",0.280468928394839
"80",0.85374497785233
"81",0.626717988634482
"82",0.865966395940632
"83",0.676518287975341
"84",0.663008632836863
"85",0.139368504984304
"86",0.129605508875102
"87",0.994847292313352
"88",0.587031398899853
"89",0.491671219700947
"90",0.744306248379871
"91",0.615567626198754
"92",0.0362662714906037
"93",0.262841382995248
"94",0.797087430022657
"95",0.0684558604843915
"96",0.852936775656417
"97",0.255273377755657
"98",0.939802177250385
"99",0.956165858078748
"100",0.492348126368597
"101",0.928949626395479
"102",0.429551470791921
"103",0.676371200708672
"104",0.953795248875394
"105",0.564457920379937
"106",0.0687136810738593
"107",0.901347767328843
"108",0.45784225827083
"109",0.136610158719122
"110",0.944160209037364
"111",0.645632147556171
"112",0.01390116289258
"113",0.966632163850591
"114",0.98851692234166
"115",0.0498955154325813
"116",0.349376843543723
"117",0.109684815863147
"118",0.687134564854205
"119",0.673875246895477
"120",0.741550707025453
"121",0.137659838655964
"122",0.254886332899332
"123",0.713200670666993
"124",0.801529875490814
"125",0.00503503764048219
"126",0.909515855833888
"127",0.0483728034887463
"128",0.606768939644098
"129",0.778647344559431
"130",0.349878198700026
"131",0.418794988654554
"132",0.380191505188122
"133",0.29248123546131
"134",0.536952135618776
"135",0.129685487598181
"136",0.588715492747724
"137",0.526597637217492
"138",0.485059687169269
"139",0.773284095572308
"140",0.536507284501567
"141",0.664401921210811
"142",0.156373884761706
"143",0.699997756164521
"144",0.874721972038969
"145",0.35835034144111
"146",0.142664019484073
"147",0.317269045626745
"148",0.746978728566319
"149",0.2406456109602
"150",0.521326859248802
"151",0.727886015316471
"152",0.464641204802319
"153",0.195481040049344
"154",0.324176350142807
"155",0.528548741713166
"156",0.523873300058767
